symbol
REGN
RF
RSG
RMD
RVTY
ROK
ROL
ROP
ROST
RCL
SPGI
CRM
SBAC
SLB
STX
SRE
NOW
SHW
SPG
SWKS
SJM
SW
SNA
SOLV
SO
LUV
SWK
SBUX
STT
STLD
STE
SYK
SMCI
SYF
SNPS
SYY
TMUS
TROW
TTWO
TPR
TRGP
TGT
TEL
TDY
TFX
TER
TSLA
TXN
TXT
TMO
TJX
TSCO
TT
TDG
TRV
TRMB
TFC
TYL
TSN
USB
UBER
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VLO
VTR
VLTO
VRSN
VRSK
VZ
VRTX
VTRS
VICI
V
VST
VMC
WRB
GWW
WAB
WBA
WMT
DIS
WBD
WM
WAT
WEC
WFC
WELL
WST
WDC
WY
WMB
WTW
WYNN
XEL
XYL
YUM
ZBRA
ZBH
ZTS
